IID;UID;START_TIME;END_TIME;LENGTH;EXIT_CODE;LAST_VIEW;Svar0;Svar1;Svar2;Svar3;Svar4;pan;C8.a1_0;C8.a1_1;C8.a1_2;C8.a1_3;C8.a1_4;C8.a1_5;C8.a1_6;C8.a1_7;C8.a1_8;C8.a1_9;C8.a1_10;C8.a1_11;C8.a1_12;C8.a1_13;C8.a1_14;C8.a1_15;C8.a1_16;C8.a1_17;C8.a1_18;C8.a1_19;C8.a1_20;C8.a1_21;C8.a2_0;C8.a2_1;C8.a2_2;C8.a2_3;C8.a2_4;C8.a2_5;C8.a2_6;C8.a2_7;C8.a2_8;C8.a2_9;C8.a2_10;C8.a2_11;C8.a2_12;C8.a2_13;C8.a2_14;C8.a2_15;C8.a2_16;C8.a2_17;C8.a2_18;C8.a2_19;C8.a2_20;C8.a3_0;C8.a3_1;C8.a3_2;C8.a3_3;C8.a3_4;C8.a3_5;C8.a3_6;C8.a3_7;C8.a3_8;C8.a3_9;C8.a3_10;C8.a3_11;C8.a3_12;C8.a3_13;C8.a3_14;C8.a3_15;C8.a3_16;C8.a3_17;C8.a4_0;C8.a4_1;C8.a4_2;C8.a4_3;C8.a4_4;C8.a4_5;C8.a4_6;C8.a4_7;C8.a4_8;C8.a4_9;C8.a4_10;C8.a4_11;C8.a4_12;C8.a4_13;C8.a4_14;C8.a4_15;C8.a4_16;C8.a4_17;C8.a4_18;C8.a4_19;C8.a4_20;C8.a4_21;C8.a4_22;C8.a4_23;C8.a5_0;C8.a5_1;C8.a5_2;C8.a5_3;C8.a5_4;C8.a5_5;C8.a5_6;C8.a5_7;C8.a5_8;C8.a5_9;C8.a5_10;C8.a5_11;C8.a5_12;C8.a5_13;C8.a5_14;C8.a5_15;C8.a5_16;C8.a5_17;C8.a5_18;C8.a5_19;C8.a5_20;C8.a5_21;C8.a6_0;C8.a6_1;C8.a6_2;C8.a6_3;C8.a6_4;C8.a6_5;C8.a6_6;C8.a6_7;C8.a6_8;C8.a6_9;C8.a6_10;C8.a6_11;C8.a6_12;C8.a6_13;C8.a6_14;C8.a6_15;C8.a6_16;C8.a6_17;C8.a6_18;C8.a6_19;C8.a6_20;C8.a6_21;C8.a6_22;C8.a7_0;C8.a7_1;C8.a7_2;C8.a7_3;C8.a7_4;C8.a7_5;C8.a7_6;C8.a7_7;C8.a7_8;C8.a7_9;C8.a7_10;C8.a7_11;C8.a7_12;C8.a7_13;C8.a7_14;C8.a7_15;C8.a7_16;C8.a8_0;C8.a8_1;C8.a8_2;C8.a8_3;C8.a8_4;C8.a8_5;C8.a8_6;C8.a8_7;C8.a8_8;C8.a8_9;C8.a8_10;C8.a8_11;C8.a8_12;C8.a8_13;C8.a8_14;C8.a8_15;C8.a8_16;C8.a8_17;C8.a8_18;C8.a8_19;C8.a8_20;C8.a9_0;C8.a9_1;C8.a9_2;C8.a9_3;C8.a9_4;C8.a9_5;C8.a9_6;C8.a9_7;C8.a9_8;C8.a9_9;C8.a9_10;C8.a9_11;C8.a9_12;C8.a9_13;C8.a9_14;C8.a9_15;C8.a9_16;C8.a9_17;C8.a9_18;C8.a9_19;C8.a9_20;C8.a10_0;C8.a10_1;C8.a10_2;C8.a10_3;C8.a10_4;C8.a10_5;C8.a10_6;C8.a10_7;C8.a10_8;C8.a10_9;C8.a10_10;C8.a10_11;C8.a10_12;C8.a10_13;C8.a10_14;C8.a10_15;C8.a10_16;C8.a10_17;C8.a10_18;C8.a10_19;C8.a10_20;C8.a10_21;C8.a10_22;C8.a10_23;C8.a10_24;C8.a11_0;C8.a11_1;C8.a11_2;C8.a11_3;C8.a11_4;C8.a11_5;C8.a11_6;C8.a11_7;C8.a11_8;C8.a11_9;C8.a11_10;C8.a11_11;C8.a11_12;C8.a11_13;C8.a11_14;C8.a11_15;C8.a11_16;conf;s.1;s.1x;s.2;s.3;Xs.3_4;s.3b_0;s.3b_1;s.3b_2;s.3b_3;s.3b_4;s.3b_5;s.3b_6;s.3b_7;s.3b_8;s.3btom;s.3c_0;s.3c_1;s.3c_2;s.3c_3;s.4_0;s.4_1;s.4_2;s.4_3;s.4_4;s.4_5;s.4_6;s.4_7;s.4_8;s.4_9;s.4_10;s.4_11;s.4_12;s.4_13;s.4tom;s.4x;s.1bis;val_0;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;valtom;val2_0;val2_1;val2_2;val2_3;val2_4;val2_5;val2_6;val2_7;val2_8;val2_9;val2_10;val2_11;val2_12;val2_13;val2_14;val2_15;val2_16;val2_17;val2_18;val2_19;val2_20;val2_21;val2_22;val2_23;val2_24;val2_25;val2_26;val2_27;val2_28;val2_29;val2_30;val2_31;val2_32;val2_33;val2_34;val2_35;val2_36;val2_37;val2_38;val2_39;val2_40;val2_41;val2_42;val2_43;val2tom;time;differenza;c.2sv0;c.3sv0;c.3bsv0;c.3csv0;c.3dsv0;Xc.3dsv0_4;c.3dbsv0_0;c.3dbsv0_1;c.3dbsv0_2;c.3dbsv0_3;c.3dbsv0_4;c.3dbsv0_5;c.3dbsv0tom;Xc.3dbsv0_4;c.4sv0;c.5sv0;c.6sv0;c.7sv0;c.8sv0;c.9A0;c.9b0;c.11sv0;time;differenza;c.2sv1;c.3sv1;c.3bsv1;c.3csv1;c.3dsv1;Xc.3dsv1_4;c.3dbsv1_0;c.3dbsv1_1;c.3dbsv1_2;c.3dbsv1_3;c.3dbsv1_4;c.3dbsv1_5;c.3dbsv1tom;Xc.3dbsv1_4;c.4sv1;c.5sv1;c.6sv1;c.7sv1;c.8sv1;c.9A1;c.9b1;c.11sv1;time;differenza;c.2sv2;c.3sv2;c.3bsv2;c.3csv2;c.3dsv2;Xc.3dsv2_4;c.3dbsv2_0;c.3dbsv2_1;c.3dbsv2_2;c.3dbsv2_3;c.3dbsv2_4;c.3dbsv2_5;c.3dbsv2tom;Xc.3dbsv2_4;c.4sv2;c.5sv2;c.6sv2;c.7sv2;c.8sv2;c.9A2;c.9b2;c.11sv2;time;differenza;c.2sv3;c.3sv3;c.3bsv3;c.3csv3;c.3dsv3;Xc.3dsv3_4;c.3dbsv3_0;c.3dbsv3_1;c.3dbsv3_2;c.3dbsv3_3;c.3dbsv3_4;c.3dbsv3_5;c.3dbsv3tom;Xc.3dbsv3_4;c.4sv3;c.5sv3;c.6sv3;c.7sv3;c.8sv3;c.9A3;c.9b3;c.11sv3;time;differenza;c.2sv4;c.3sv4;c.3bsv4;c.3csv4;c.3dsv4;Xc.3dsv4_4;c.3dbsv4_0;c.3dbsv4_1;c.3dbsv4_2;c.3dbsv4_3;c.3dbsv4_4;c.3dbsv4_5;c.3dbsv4tom;Xc.3dbsv4_4;c.4sv4;c.5sv4;c.6sv4;c.7sv4;c.8sv4;c.9A4;c.9b4;c.11sv4;time;differenza;c.2sv5;c.3sv5;c.3bsv5;c.3csv5;c.3dsv5;Xc.3dsv5_4;c.3dbsv5_0;c.3dbsv5_1;c.3dbsv5_2;c.3dbsv5_3;c.3dbsv5_4;c.3dbsv5_5;c.3dbsv5tom;Xc.3dbsv5_4;c.4sv5;c.5sv5;c.6sv5;c.7sv5;c.8sv5;c.9A5;c.9b5;c.11sv5;time;differenza;c.2sv6;c.3sv6;c.3bsv6;c.3csv6;c.3dsv6;Xc.3dsv6_4;c.3dbsv6_0;c.3dbsv6_1;c.3dbsv6_2;c.3dbsv6_3;c.3dbsv6_4;c.3dbsv6_5;c.3dbsv6tom;Xc.3dbsv6_4;c.4sv6;c.5sv6;c.6sv6;c.7sv6;c.8sv6;c.9A6;c.9b6;c.11sv6;time;differenza;c.2sv7;c.3sv7;c.3bsv7;c.3csv7;c.3dsv7;Xc.3dsv7_4;c.3dbsv7_0;c.3dbsv7_1;c.3dbsv7_2;c.3dbsv7_3;c.3dbsv7_4;c.3dbsv7_5;c.3dbsv7tom;Xc.3dbsv7_4;c.4sv7;c.5sv7;c.6sv7;c.7sv7;c.8sv7;c.9A7;c.9b7;c.11sv7;time;differenza;c.2sv8;c.3sv8;c.3bsv8;c.3csv8;c.3dsv8;Xc.3dsv8_4;c.3dbsv8_0;c.3dbsv8_1;c.3dbsv8_2;c.3dbsv8_3;c.3dbsv8_4;c.3dbsv8_5;c.3dbsv8tom;Xc.3dbsv8_4;c.4sv8;c.5sv8;c.6sv8;c.7sv8;c.8sv8;c.9A8;c.9b8;c.11sv8;time;differenza;c.2sv9;c.3sv9;c.3bsv9;c.3csv9;c.3dsv9;Xc.3dsv9_4;c.3dbsv9_0;c.3dbsv9_1;c.3dbsv9_2;c.3dbsv9_3;c.3dbsv9_4;c.3dbsv9_5;c.3dbsv9tom;Xc.3dbsv9_4;c.4sv9;c.5sv9;c.6sv9;c.7sv9;c.8sv9;c.9A9;c.9b9;c.11sv9;time;differenza;c.2sv10;c.3sv10;c.3bsv10;c.3csv10;c.3dsv10;Xc.3dsv10_4;c.3dbsv10_0;c.3dbsv10_1;c.3dbsv10_2;c.3dbsv10_3;c.3dbsv10_4;c.3dbsv10_5;c.3dbsv10tom;Xc.3dbsv10_4;c.4sv10;c.5sv10;c.6sv10;c.7sv10;c.8sv10;c.9A10;c.9b10;c.11sv10;c.12_0;c.12_1;c.12_2;c.12_3;c.12_4;c13;c14;p.1;p.2;p.2x;p.3;Xp.3_4;p.4;P.4B;p.5
203;IDEXNE14623;23/02/2023 18:00:41 CET;23/02/2023 18:01:18 CET;37;4;s.1;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;IDEXCI276;23/02/2023 21:11:44 CET;23/02/2023 21:12:08 CET;24;4;s.3b;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;0;0;1;;0;0;0;0;0;0;0;1;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;IDEXCI158;23/02/2023 19:47:57 CET;23/02/2023 19:48:22 CET;25;4;s.1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;IDEXCI177;23/02/2023 19:50:11 CET;<unknown>;0;0;val2;8;1;7;6;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;2;;1;1;1;0;1;0;1;0;0;0;2;2;0;;0;1;0;0;0;0;0;0;0;0;1;1;0;0;11;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;IDEXCI28;23/02/2023 15:31:06 CET;23/02/2023 15:32:40 CET;94;4;s.1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;IDEXCI427;24/02/2023 13:57:05 CET;24/02/2023 13:57:35 CET;30;4;s.1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;IDEXCI399;24/02/2023 12:07:46 CET;<unknown>;0;0;val2;3;10;2;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;0;2;;1;1;1;1;1;1;1;1;0;2;2;2;2;2;1;1;1;0;0;0;0;0;1;1;1;1;0;0;8;0;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;23;;;;;;;;;;;;;;;;;;;;;;7;;;0.41145100 1677238180;;;;;;;;;;;;;;;;;;;;;8;;;0.26450100 1677237627;00:33;7;8;50;2;;;;;;;;;;;Non utilizzo nessun prodotto simile;0;0;0;0;8;8;Ottimo soluzione;0.85827000 1677236986;00:23;6;6;100;1;2;;1;0;0;0;0;0;0;;Preparazione base di ricotta classica già zuccherata;0;1;1;1;;8;Ottima proposta di mercato,ottimo package che risalta molto all'occhio e ti induce in qual modo a provare almeno una volta il prodotto e con dettagliati punti riportati sul prodotto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18672400 1677237371;00:53;8;8;6;2;;;;;;;;;;;Un pezzo da 700g di media stagionatura xchè purtroppo perde aal taglio o si sfalda anche se ti ottima qualita;0;0;0;0;;9;Devo assolutamente averla,risparmio,qualità e pieno utilizzo della materia;;;;;;;;;;;;;;;
180;IDEXNE12107;23/02/2023 17:47:46 CET;23/02/2023 17:48:12 CET;26;4;s.1;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;IDEXCI113;23/02/2023 19:00:13 CET;23/02/2023 19:00:31 CET;18;4;s.1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;IDEXCI217;23/02/2023 20:04:57 CET;23/02/2023 20:27:41 CET;1364;3;p.5;10;1;9;3;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;2;;1;1;1;1;1;0;1;1;0;0;2;0;0;2;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;;6;;;0.14422900 1677179523;00:18;4;0;;1;;;;;;;;;;;Prodotto non ripieno ;1;1;1;1;2;1;Sicuramente il prodotto sarà valido ma non utilizziamo  prodotti ripieni ;;;;;;;;;;;;;;;;;;;;;;3;;;0.12187700 1677179957;00:17;7;7;15;1;0;;0;0;1;0;0;0;2;;Prodotto simile ma in formato più grande ;0;1;1;1;5;7;Ottima idea ma un po caro;;;;;;;;;;;;;;;;;;;;;;4;;;0.11691300 1677180184;00:17;4;3;;2;;;;;;;;;;;Non utilizziamo questo tipo di prodotto ;1;1;1;1;;4;Ottimo prezzo ma non utilizziamo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32021900 1677179753;00:17;6;0;;2;3;;1;0;0;0;0;0;0;;Facciamo noi direttamente il prodotto ;1;1;1;1;;4;Accattivante, ma ripeto lo facciamo in casa da noi ;0.60273200 1677179269;00:18;7;9;1;2;;;;;;;;;;;Mucetta;0;0;1;0;;6;Prodotto di eccellenza ad un prezzo valido ;2;4;0;3;1;Carino e sicuramente pratico ;Non utilizziamo il prodotto ripieno ;0;59;2;0;;0;2;0
