IID;UID;START_TIME;END_TIME;EXIT_CODE;LAST_QUESTION;q0;q1;q1b_0;q1b_1;q1b_2;q1b_3;q1b_4;q1b_5;q1b_6;q1b_7;q1b_8;q1btom;q2;q2b;q2c;q3;q3b_0;q3b_1;q3b_2;q3b_3;q3b_4;q3btom;Xq3b_4;q3c;q3d;q4;q5_0;q5_1;q5_2;q5_3;q5_4;q5_5;q5tom;q6_0;q6_1;q6_2;q6_3;q6_4;q6_5;q6_6;q6tom;q7_0;q7_1;q7_2;q7_3;q7_4;q7_5;q7_6;q7_7;q7_8;q7tom;q7b_0;q7b_1;q7b_2;q7b_3;q7b_4;q7b_5;q7b_6;q7b_7;q7b_8;q7btom;Xq7b_8;q8_0;q8_1;q8_2;q8_3;q8_4;q8_5;q8_6;q8_7;q8_8;q8_9;q8tom
203;XH7UUZLV9B;27/08/2019 12:51:22 CEST;27/08/2019 12:52:57 CEST;3;150;1;0;0;0;0;1;0;0;0;0;0;3;0;0;21;0;1;0;0;0;0;0;;;0;2;1;0;1;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;3;1;1;0;0;0;0;1;1;0;7;;0;0;1;1;0;0;0;0;0;0;3
411;0BQMVX8OZ9;10/10/2019 20:20:41 CEST;10/10/2019 20:22:47 CEST;3;150;0;1;;;;;;;;;;;0;0;21;0;1;0;0;0;0;0;;;0;2;1;0;1;0;0;1;2;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;7;;0;0;0;1;0;0;0;0;0;0;3
295;JC7XI2U82L;09/09/2019 23:29:47 CEST;09/09/2019 23:30:53 CEST;3;150;0;1;;;;;;;;;;;0;0;56;1;;;;;;;;;1;2;1;0;1;0;0;1;2;1;0;0;0;0;0;1;6;0;0;1;1;1;1;1;1;1;6;1;1;0;0;0;0;0;1;0;7;;1;0;0;0;0;0;0;0;0;0;0
317;W3DKHVZH1R;10/09/2019 22:26:23 CEST;10/09/2019 22:27:58 CEST;3;150;1;0;0;0;1;0;1;0;0;0;0;2;0;0;40;0;1;1;0;0;0;0;;;0;1;1;1;1;1;1;1;3;1;0;1;0;1;1;1;4;1;1;0;1;0;1;1;1;0;6;1;1;1;1;0;0;0;1;0;2;;0;1;1;1;0;0;1;1;0;0;6
25;9WIYD4ZAYB;26/08/2019 17:57:44 CEST;26/08/2019 17:59:23 CEST;3;150;0;1;;;;;;;;;;;0;0;5;0;1;1;1;1;0;0;;0;0;0;1;1;1;1;1;1;2;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;0;7;1;1;1;1;1;1;1;1;0;5;;1;1;1;1;1;1;1;1;0;0;5
540;0DK6Y3A6VR;14/10/2019 16:06:19 CEST;14/10/2019 16:07:37 CEST;3;150;1;1;;;;;;;;;;;0;0;12;0;1;1;1;1;0;0;;0;0;2;1;1;1;1;1;1;3;1;1;1;1;1;1;0;3;1;1;1;1;1;1;1;1;0;6;1;0;0;1;0;0;0;1;0;3;;0;1;1;1;0;1;1;1;0;0;3
180;QLN6TDa4IM;27/08/2019 09:25:28 CEST;27/08/2019 09:26:53 CEST;3;150;0;0;0;0;0;1;0;0;0;1;0;7;0;0;43;0;1;0;0;0;0;0;;;1;3;1;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;1;0;0;1;0;0;0;0;0;0;;1;0;0;1;0;0;0;0;0;0;0
250;3PR6AVSRLB;31/08/2019 14:59:00 CEST;31/08/2019 15:00:45 CEST;3;150;1;0;0;0;0;0;0;0;1;0;0;6;0;0;21;0;1;0;0;0;0;0;;;1;4;1;0;1;0;0;1;2;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;7;;0;0;0;0;0;0;0;0;0;1;9
354;FPDZZMOUH0;10/10/2019 18:01:55 CEST;10/10/2019 18:15:03 CEST;3;150;1;0;0;1;0;0;0;0;0;0;0;1;1;;;0;1;0;0;0;0;0;;;1;3;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;3;1;0;0;0;0;0;1;1;0;7;;0;0;1;1;0;0;0;0;0;0;3
485;3JULW3ZIAA;11/10/2019 10:29:57 CEST;11/10/2019 10:31:56 CEST;3;150;1;0;1;0;0;0;0;0;0;0;0;0;0;0;41;0;1;0;0;0;0;0;;;0;1;1;1;1;0;1;1;2;1;1;0;1;1;1;0;4;1;1;1;1;1;1;1;1;0;2;1;1;0;0;0;0;0;1;0;0;;0;0;0;0;1;0;0;0;0;0;4
